Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2021,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,20931,6596,6977,0.0689514341091393,0.00323209069926445,0.0652939791760187,0.0726088890422599,0.00186604843526562
2022,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,19134,5904,6378,0.0625162834334493,0.00397923452820544,0.0580133556664343,0.0670192112004643,0.00229741212602806
2023,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,19328,5835,6442.66666666667,0.0625305682492719,0.00501332347300484,0.0568574586821909,0.068203677816353,0.00289444365667402
2019,Baseline,Income,UC Benefits Flag,FALSE,Overall,Overall,share,3,292849,97607,97616.3333333333,0.976010424340476,1.67510028714148e-05,0.975991468796282,0.976029379884669,9.67119601700755e-06
2020,Baseline,Income,UC Benefits Flag,FALSE,Overall,Overall,share,3,295743,98361,98581,0.976130020001625,0.000101182704425021,0.976015520992816,0.976244519010434,5.84178616371205e-05
2021,Baseline,Income,UC Benefits Flag,FALSE,Overall,Overall,share,3,296330,98556,98776.6666666667,0.976220974079749,0.000165535013545411,0.976033653577873,0.976408294581625,9.55716846307512e-05
2022,Baseline,Income,UC Benefits Flag,FALSE,Overall,Overall,share,3,298799,99415,99599.6666666667,0.976326755274036,0.000186034587930187,0.976116237319972,0.976537273228099,0.000107407119420074
2023,Baseline,Income,UC Benefits Flag,FALSE,Overall,Overall,share,3,301725,100281,100575,0.9762759274548,0.000190673945580277,0.976060159573336,0.976491695336264,0.000110085653808221
2019,Baseline,Income,UC Benefits Flag,TRUE,Overall,Overall,share,3,7198,2398,2399.33333333333,0.0239895756595245,1.6751002871447e-05,0.0239706201153311,0.0240085312037178,9.67119601702614e-06
2020,Baseline,Income,UC Benefits Flag,TRUE,Overall,Overall,share,3,7232,2399,2410.66666666667,0.0238699799983747,0.000101182704425049,0.0237554809895659,0.0239844790071834,5.84178616371366e-05
2021,Baseline,Income,UC Benefits Flag,TRUE,Overall,Overall,share,3,7218,2393,2406,0.023779025920251,0.000165535013545418,0.0235917054183747,0.0239663464221273,9.55716846307554e-05
2022,Baseline,Income,UC Benefits Flag,TRUE,Overall,Overall,share,3,7245,2397,2415,0.0236732447259642,0.000186034587930204,0.0234627267719009,0.0238837626800276,0.000107407119420085
2023,Baseline,Income,UC Benefits Flag,TRUE,Overall,Overall,share,3,7332,2429,2444,0.0237240725452002,0.000190673945580242,0.0235083046637362,0.0239398404266643,0.000110085653808201
2019,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,283856,94606,94618.6666666667,0.946038451983263,5.29995520370451e-05,0.945978477344218,0.946098426622309,3.05993056355176e-05
2020,Baseline,Income,Financial distress flag,Not financially distressed,Overall,Overall,share,3,289156,96214,96385.3333333333,0.954389555434933,0.000407382717487556,0.953928558492587,0.954850552377278,0.000235202521604642
