Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2019,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,300047,100008,100015.666666667,1,0,1,1,0
2020,Baseline,Income,Income Quintile,Q5,Overall,Overall,share,3,87605,28598,29201.6666666667,0.289369563664428,0.00542227538909921,0.283233681439615,0.295505445889241,0.00313055215551671
2021,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,63882,21222,21294,0.210617556991267,0.000974940702735427,0.209514307728018,0.211720806254517,0.000562882277168222
2022,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,65056,21477,21685.3333333333,0.212621050130284,0.00185875850665458,0.2105176668709,0.214724433389668,0.00107315472417553
2023,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,64339,20848,21446.3333333333,0.208250638134232,0.00572481877861679,0.201772395834956,0.214728880433509,0.00330522566289623
2020,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,36701,12050,12233.6666666667,0.121227840586255,0.00178165359485746,0.119211709748371,0.123243971424138,0.00102863818259362
2021,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,37315,12234,12438.3333333333,0.123029102057156,0.00202035285972518,0.120742857573012,0.1253153465413,0.00116645126742036
2022,Baseline,Income,Income Quintile,Q1,Overall,Overall,share,3,38523,12668,12841,0.125905471908309,0.0016376958051306,0.124052244644981,0.127758699171637,0.000945524113942876
2023,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,55344,17611,18448,0.179139323289632,0.00712006837910551,0.171082207434794,0.187196439144469,0.00411077339532511
2020,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,61727,20237,20575.6666666667,0.20388848621633,0.0039491865475161,0.199419560940404,0.208357411492255,0.00228006391628847
2021,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,53857,17525,17952.3333333333,0.177561196182577,0.00389628344402154,0.173152136403897,0.181970255961257,0.00224952029524492
2022,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,63732,20788,21244,0.208293575429663,0.00457841913153964,0.203112606454271,0.213474544405056,0.00264335151805734
2020,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,63539,21013,21179.6666666667,0.209874154122109,0.0014028613960314,0.208286667009026,0.211461641235193,0.000809942404634464
2021,Baseline,Income,Income Quintile,Q3,Overall,Overall,share,3,62895,20576,20965,0.20735556353695,0.00533332446440192,0.201320338759161,0.213390788314738,0.00307919631519807
2023,Baseline,Income,Income Quintile,Q4,Overall,Overall,share,3,66423,21728,22141,0.214995624350973,0.0032614894128557,0.211304901641649,0.218686347060297,0.00188302179047135
2020,Baseline,Income,Income Quintile,Q2,Overall,Overall,share,3,53175,17504,17725,0.175639955410878,0.00336376250581824,0.171833499801959,0.179446411019798,0.00194206918822413
